canonical_project_id,snapshot_month,sector,state,ministry_department,project_age_months,months_to_target,current_time_slip_months,current_cost_overrun_pct,spend_ratio_pct,physical_progress_pct,financial_physical_gap_pct,progress_delta_1m,progress_delta_3m,progress_delta_6m,spend_delta_1m_cr,spend_delta_3m_cr,spend_delta_6m_cr,progress_velocity_3m,schedule_pressure,stagnation_streak_months,target_revision_count_to_date,cost_revision_count_to_date,data_quality_score,missing_core_fields_count,delay_event_next_3m,delay_event_next_6m,cost_escalation_next_3m,cost_escalation_next_6m,future_coverage_3m,future_coverage_6m
P-619112,2025-03,,,,,,,12.096470902231015,42.54329004329004,70.0,-27.456709956709958,1.25,,,0.020000000000038654,,,,,0,0,0,88,1,,,0,0,1,1
P-619112,2025-04,,,,,,,12.096470902231015,45.91233766233766,70.2,-24.28766233766234,0.20000000000000284,5.299999999999997,,31.129999999999995,32.379999999999995,,1.7666666666666657,,1,0,0,88,1,,,0,0,1,1
P-619112,2025-05,,,,,,,12.096470902231015,55.66341991341992,75.54,-19.876580086580084,5.340000000000003,6.790000000000006,,90.10000000000002,121.25000000000006,,2.2633333333333354,,0,0,0,88,1,,,0,0,1,1
P-619112,2025-06,,,,,,,12.096470902231015,56.44047619047619,76.13,-19.689523809523806,0.5899999999999892,6.1299999999999955,,7.17999999999995,128.40999999999997,,2.0433333333333317,,0,0,0,88,1,,,0,0,1,1
P-619112,2026-01,Railways,Andhra Pradesh,Ministry of Road Transport & Highways,,,,0.0,50.15060687162369,80.0,-29.849393128376313,,,,,,,,,0,0,1,76,1,,,0,,1,0
P-619112,2026-02,Railways,Andhra Pradesh,Ministry of Road Transport & Highways,,,,0.0,50.18220962501358,81.0,-30.817790374986423,1.0,,,0.3199999999999932,,,,,0,0,1,88,1,,,,,0,0
P-619112,2026-04,Railways,Andhra Pradesh,Ministry of Road Transport & Highways,,,,0.0,56.10772588561778,81.06,-24.95227411438222,,1.0600000000000023,,,60.31999999999999,,0.3533333333333341,,0,0,1,88,1,,,,,0,0
P-619114,2026-01,Railways,Madhya Pradesh,Ministry of Road Transport & Highways,,,,6.021211084502235,26.17322065531165,39.0,-12.826779344688351,,,,,,,,,0,0,0,88,1,,,0,,1,0
P-619114,2026-02,Railways,Madhya Pradesh,Ministry of Road Transport & Highways,,,,6.021211084502235,30.144859283291034,40.0,-9.855140716708966,1.0,,,45.539999999999964,,,,,0,0,0,88,1,,,,,0,0
P-619114,2026-03,Railways,Madhya Pradesh,Ministry of Road Transport & Highways,,,,6.021211084502235,30.144859283291034,40.25,-10.105140716708966,0.25,,,0.0,,,,,1,0,0,88,1,,,,,0,0
