model,family,calibration,inference_ms_per_row,interpretability,pr_auc,roc_auc,precision,recall,f1,balanced_accuracy,specificity,accuracy,brier,log_loss,ece,tn,fp,fn,tp,alerts_generated,threshold,false_positive_rate
Dummy_prior,dummy,raw,0.0006387802605080163,high,0.2825986078886311,0.5,0.2825986078886311,1.0,0.4406657018813314,0.5,0.0,0.2825986078886311,0.21706393751499062,0.6403694627530353,0.11969671176332194,0,1546,0,609,2155,0.02,1.0
Logistic_unweighted_C0.1,logistic,raw,0.00393938547997732,high,0.5608270851228778,0.7991617756082225,0.5157766990291263,0.6978653530377669,0.5931612002791347,0.719889985703877,0.7419146183699871,0.7294663573085847,0.17045088127341795,0.511599651665726,0.09165350817071778,1147,399,184,425,824,0.19,0.25808538163001293
CatBoost_1,catboost,raw,0.0034657355705887474,SHAP-supported,0.5526976957562444,0.7918724522418148,0.5531453362255966,0.4187192118226601,0.4766355140186916,0.6427360612800235,0.8667529107373868,0.740139211136891,0.1946374025979912,0.6286023105273261,0.1580004486072721,1340,206,354,255,461,0.26,0.1332470892626132
XGBoost_3,xgboost,raw,0.008133193664968159,SHAP-supported,0.5649229497711793,0.7809464330854348,0.5743243243243243,0.4187192118226601,0.4843304843304843,0.6482341207884322,0.8777490297542044,0.7480278422273782,0.18127989717920867,0.5752448307757113,0.11840152327671404,1357,189,354,255,444,0.505,0.1222509702457956
CatBoost_1_calibrated,catboost,none,0.0034657355705887474,SHAP-supported,0.5526976957562444,0.7918724522418148,0.5553319919517102,0.45320197044334976,0.49909584086799275,0.6551262116123605,0.8570504527813713,0.7429234338747099,0.1946374025979912,0.6286023105273261,0.1580004486072721,1325,221,333,276,497,0.22999999999999998,0.1429495472186287
