reporting_regime,training_months,evaluation_months,rows,positives,pr_auc,roc_auc,precision,recall,f1,balanced_accuracy,specificity,accuracy,brier,log_loss,ece,tn,fp,fn,tp,alerts_generated,threshold,false_positive_rate
OCMS_LEGACY,2025-01..2025-02,2025-03..2025-06,2142,289,0.6325758354738317,0.8980723301034328,0.6195652173913043,0.5916955017301038,0.6053097345132743,0.7675153169740643,0.9433351322180248,0.8958916900093371,0.07698554215665838,0.2578644930306709,0.03013919843027326,1748,105,118,171,276,0.5,0.05666486778197517
PAIMANA_TRANSITION,2025-01..2025-06,2025-07..2025-08,1112,112,0.5304115800421911,0.8645446428571428,0.6477272727272727,0.5089285714285714,0.57,0.7389642857142857,0.969,0.9226618705035972,0.06696750267083568,0.23725410499192778,0.036542129434316284,969,31,55,57,88,0.5,0.031
PAIMANA,2025-01..2025-08,2025-12..2026-01,2155,609,0.5526976957562444,0.7918724522418148,0.5553319919517102,0.45320197044334976,0.49909584086799275,0.6551262116123605,0.8570504527813713,0.7429234338747099,0.1946374025979912,0.6286023105273261,0.1580004486072721,1325,221,333,276,497,0.22999999999999998,0.1429495472186287
