model,pr_auc,roc_auc,precision,recall,f1,balanced_accuracy,specificity,accuracy,brier,log_loss,ece,tn,fp,fn,tp,alerts_generated,threshold,false_positive_rate
DummyClassifier,0.026262626262626262,0.5,0.0,0.0,0.0,0.5,1.0,0.9737373737373738,0.025650327611985275,0.12345687918714737,0.008799254943993737,1446,0,39,0,0,0.5,0.0
Logistic_unweighted,0.13174312283658526,0.8053161683867078,0.0,0.0,0.0,0.4996542185338866,0.9993084370677732,0.9730639730639731,0.024873041365066618,0.11282173746348584,0.016627128187468816,1445,1,39,0,1,0.5,0.0006915629322268327
Logistic_balanced,0.10690320897526275,0.831613292194205,0.11483253588516747,0.6153846153846154,0.1935483870967742,0.7437227364613257,0.872060857538036,0.8653198653198653,0.10739897155911116,0.4524956013838948,0.1480312736685936,1261,185,15,24,209,0.5,0.12793914246196403
CatBoost_unweighted,0.33943951125180816,0.8522537858637443,1.0,0.05128205128205128,0.0975609756097561,0.5256410256410257,1.0,0.9750841750841751,0.022038308765264834,0.09667781780695957,0.013233391549953592,1446,0,37,2,2,0.5,0.0
CatBoost_weighted,0.45232150401973154,0.8703408163989077,0.6666666666666666,0.3076923076923077,0.42105263157894735,0.6517714650494734,0.995850622406639,0.9777777777777777,0.019982538951470293,0.08810592013051673,0.019866281445171503,1440,6,27,12,18,0.5,0.004149377593360996
XGBoost_unweighted,0.2641723494142853,0.7988615810192574,1.0,0.02564102564102564,0.05,0.5128205128205128,1.0,0.9744107744107744,0.02288132323454973,0.10854102168750385,0.014522094643276548,1446,0,38,1,1,0.5,0.0
XGBoost_weighted,0.2972944919354628,0.8545412632549563,0.3,0.3076923076923077,0.3037974683544304,0.6441642727949781,0.9806362378976486,0.9629629629629629,0.03146052492535041,0.12327952943961806,0.04630421435190773,1418,28,27,12,40,0.5,0.019363762102351315
