model,pr_auc,roc_auc,precision,recall,f1,balanced_accuracy,specificity,accuracy,brier,log_loss,ece,tn,fp,fn,tp,alerts_generated,threshold,false_positive_rate
DummyClassifier,0.19506172839506172,0.5,0.0,0.0,0.0,0.5,1.0,0.8049382716049382,0.1597588701551405,0.5037397738923722,0.05240438573771905,326,0,79,0,0,0.5,0.0
Logistic_unweighted,0.41116693531958215,0.8190184049079754,0.49473684210526314,0.5949367088607594,0.5402298850574713,0.7238487225285393,0.852760736196319,0.8024691358024691,0.15678344562974697,1.1861388416238834,0.1089999177349873,278,48,32,47,95,0.5,0.147239263803681
Logistic_balanced,0.3996556388405962,0.8132717247806166,0.3939393939393939,0.8227848101265823,0.5327868852459017,0.7580181719344568,0.6932515337423313,0.7185185185185186,0.2134558891711303,1.4220338457856654,0.21659631929397327,226,100,14,65,165,0.5,0.3067484662576687
CatBoost_unweighted,0.6126003905219479,0.901413372679972,0.6274509803921569,0.810126582278481,0.7071823204419889,0.8467810825502835,0.8834355828220859,0.8691358024691358,0.11320280970833353,0.40471412615419744,0.08693498655072433,288,38,15,64,102,0.5,0.1165644171779141
CatBoost_weighted,0.6378701169096181,0.9157412440785897,0.5932203389830508,0.8860759493670886,0.7106598984771574,0.8694183427817037,0.852760736196319,0.8592592592592593,0.12282894013152305,0.4356093804600527,0.13999841725478518,278,48,9,70,118,0.5,0.147239263803681
XGBoost_unweighted,0.5401626581840024,0.8782325075716394,0.5652173913043478,0.8227848101265823,0.6701030927835051,0.8347052884988739,0.8466257668711656,0.8419753086419753,0.128506566059248,0.5185169914690254,0.12398673003930369,276,50,14,65,115,0.5,0.15337423312883436
XGBoost_weighted,0.5533793888030839,0.8871243302011338,0.5307692307692308,0.8734177215189873,0.6602870813397129,0.8431505785509047,0.8128834355828221,0.8246913580246914,0.1475539059790701,0.6310359514344126,0.1524843499432375,265,61,10,69,130,0.5,0.18711656441717792
