threshold,precision,recall,f1,false_positive_rate,alerts_generated
0.02,0.22666666666666666,0.9714285714285714,0.3675675675675676,0.5353846153846153,450
0.025,0.24757281553398058,0.9714285714285714,0.3945841392649903,0.47692307692307695,412
0.03,0.2604166666666667,0.9523809523809523,0.40899795501022496,0.4369230769230769,384
0.035,0.2682926829268293,0.9428571428571428,0.4177215189873418,0.4153846153846154,369
0.04,0.2836676217765043,0.9428571428571428,0.43612334801762115,0.38461538461538464,349
0.045,0.2934131736526946,0.9333333333333333,0.44646924829157175,0.3630769230769231,334
0.05,0.30124223602484473,0.9238095238095239,0.45433255269320844,0.34615384615384615,322
0.05500000000000001,0.305993690851735,0.9238095238095239,0.4597156398104265,0.3384615384615385,317
0.06,0.313915857605178,0.9238095238095239,0.46859903381642515,0.3261538461538461,309
0.065,0.3222591362126246,0.9238095238095239,0.47783251231527096,0.31384615384615383,301
0.07,0.3321917808219178,0.9238095238095239,0.48866498740554154,0.3,292
0.075,0.3404255319148936,0.9142857142857143,0.49612403100775193,0.28615384615384615,282
0.08,0.34532374100719426,0.9142857142857143,0.5013054830287206,0.28,278
0.085,0.35555555555555557,0.9142857142857143,0.512,0.2676923076923077,270
0.09000000000000001,0.36293436293436293,0.8952380952380953,0.5164835164835165,0.25384615384615383,259
0.095,0.3671875,0.8952380952380953,0.5207756232686981,0.24923076923076923,256
0.1,0.3790322580645161,0.8952380952380953,0.5325779036827195,0.23692307692307693,248
0.10500000000000001,0.3795918367346939,0.8857142857142857,0.5314285714285715,0.23384615384615384,245
0.11,0.3795918367346939,0.8857142857142857,0.5314285714285715,0.23384615384615384,245
0.115,0.38589211618257263,0.8857142857142857,0.5375722543352601,0.2276923076923077,241
0.12000000000000001,0.3940677966101695,0.8857142857142857,0.5454545454545454,0.22,236
0.125,0.40086206896551724,0.8857142857142857,0.5519287833827893,0.21384615384615385,232
0.13,0.40611353711790393,0.8857142857142857,0.5568862275449101,0.20923076923076922,229
0.135,0.4125560538116592,0.8761904761904762,0.5609756097560976,0.20153846153846153,223
0.13999999999999999,0.423963133640553,0.8761904761904762,0.5714285714285714,0.19230769230769232,217
0.145,0.43333333333333335,0.8666666666666667,0.5777777777777777,0.18307692307692308,210
0.15,0.43902439024390244,0.8571428571428571,0.5806451612903226,0.17692307692307693,205
0.155,0.4494949494949495,0.8476190476190476,0.5874587458745875,0.1676923076923077,198
0.16,0.45408163265306123,0.8476190476190476,0.5913621262458472,0.1646153846153846,196
0.16499999999999998,0.4536082474226804,0.8380952380952381,0.5886287625418061,0.16307692307692306,194
0.16999999999999998,0.45263157894736844,0.819047619047619,0.5830508474576271,0.16,190
0.175,0.45698924731182794,0.8095238095238095,0.584192439862543,0.15538461538461537,186
0.18,0.46195652173913043,0.8095238095238095,0.5882352941176471,0.1523076923076923,184
0.185,0.4644808743169399,0.8095238095238095,0.5902777777777778,0.15076923076923077,183
0.19,0.4745762711864407,0.8,0.5957446808510638,0.14307692307692307,177
0.195,0.4742857142857143,0.7904761904761904,0.5928571428571429,0.14153846153846153,175
0.19999999999999998,0.4682080924855491,0.7714285714285715,0.5827338129496403,0.14153846153846153,173
0.205,0.47928994082840237,0.7714285714285715,0.5912408759124088,0.13538461538461538,169
0.21,0.48502994011976047,0.7714285714285715,0.5955882352941176,0.13230769230769232,167
0.215,0.49079754601226994,0.7619047619047619,0.5970149253731343,0.1276923076923077,163
0.22,0.49382716049382713,0.7619047619047619,0.599250936329588,0.12615384615384614,162
0.225,0.4968944099378882,0.7619047619047619,0.6015037593984962,0.12461538461538461,161
0.22999999999999998,0.5031446540880503,0.7619047619047619,0.6060606060606061,0.12153846153846154,159
0.235,0.5031847133757962,0.7523809523809524,0.6030534351145038,0.12,157
0.24,0.512987012987013,0.7523809523809524,0.61003861003861,0.11538461538461539,154
0.245,0.5163398692810458,0.7523809523809524,0.6124031007751938,0.11384615384615385,153
0.25,0.5306122448979592,0.7428571428571429,0.6190476190476191,0.10615384615384615,147
0.255,0.5342465753424658,0.7428571428571429,0.6215139442231076,0.10461538461538461,146
0.26,0.5342465753424658,0.7428571428571429,0.6215139442231076,0.10461538461538461,146
0.265,0.5310344827586206,0.7333333333333333,0.616,0.10461538461538461,145
0.27,0.5314685314685315,0.7238095238095238,0.6129032258064516,0.10307692307692308,143
0.275,0.5362318840579711,0.7047619047619048,0.6090534979423868,0.09846153846153846,138
0.28,0.5362318840579711,0.7047619047619048,0.6090534979423868,0.09846153846153846,138
0.28500000000000003,0.5413533834586466,0.6857142857142857,0.6050420168067226,0.09384615384615384,133
0.29000000000000004,0.5413533834586466,0.6857142857142857,0.6050420168067226,0.09384615384615384,133
0.29500000000000004,0.5419847328244275,0.6761904761904762,0.6016949152542372,0.09230769230769231,131
0.30000000000000004,0.5503875968992248,0.6761904761904762,0.6068376068376068,0.08923076923076922,129
0.30500000000000005,0.5503875968992248,0.6761904761904762,0.6068376068376068,0.08923076923076922,129
0.31,0.5511811023622047,0.6666666666666666,0.603448275862069,0.0876923076923077,127
0.315,0.5511811023622047,0.6666666666666666,0.603448275862069,0.0876923076923077,127
0.32,0.5476190476190477,0.6571428571428571,0.5974025974025974,0.0876923076923077,126
0.325,0.552,0.6571428571428571,0.6,0.08615384615384615,125
0.33,0.552,0.6571428571428571,0.6,0.08615384615384615,125
0.335,0.5564516129032258,0.6571428571428571,0.6026200873362445,0.08461538461538462,124
0.34,0.5454545454545454,0.6285714285714286,0.584070796460177,0.08461538461538462,121
0.34500000000000003,0.5454545454545454,0.6285714285714286,0.584070796460177,0.08461538461538462,121
0.35000000000000003,0.5454545454545454,0.6285714285714286,0.584070796460177,0.08461538461538462,121
0.35500000000000004,0.55,0.6285714285714286,0.5866666666666667,0.08307692307692308,120
0.36000000000000004,0.5508474576271186,0.6190476190476191,0.5829596412556054,0.08153846153846153,118
0.36500000000000005,0.5470085470085471,0.6095238095238096,0.5765765765765766,0.08153846153846153,117
0.37000000000000005,0.5398230088495575,0.580952380952381,0.5596330275229358,0.08,113
0.375,0.5446428571428571,0.580952380952381,0.5622119815668203,0.07846153846153846,112
0.38,0.5446428571428571,0.580952380952381,0.5622119815668203,0.07846153846153846,112
0.385,0.5405405405405406,0.5714285714285714,0.5555555555555556,0.07846153846153846,111
0.39,0.5412844036697247,0.5619047619047619,0.5514018691588785,0.07692307692307693,109
0.395,0.5370370370370371,0.5523809523809524,0.5446009389671361,0.07692307692307693,108
0.4,0.5327102803738317,0.5428571428571428,0.5377358490566038,0.07692307692307693,107
0.405,0.5288461538461539,0.5238095238095238,0.5263157894736842,0.07538461538461538,104
0.41000000000000003,0.5288461538461539,0.5238095238095238,0.5263157894736842,0.07538461538461538,104
0.41500000000000004,0.5445544554455446,0.5238095238095238,0.5339805825242718,0.07076923076923076,101
0.42000000000000004,0.5445544554455446,0.5238095238095238,0.5339805825242718,0.07076923076923076,101
0.42500000000000004,0.5445544554455446,0.5238095238095238,0.5339805825242718,0.07076923076923076,101
