Project Code,Project Name,Agency,State,Snapshot Month,Approval Month,Start Month,Original DoC,Revised DoC,Original Cost (Cr),Revised Cost (Cr),Cumulative Expenditure (Cr),Physical Progress (%),Source URL,Revised Date Changed,Expenditure Delta (Cr),Physical Progress Delta,Exp Decrease Flag,Cost vs Original (%),Spend / Revised Cost (%)
701408,Madhya Ganga canal Phase-II,Irrigation & Water Resources-UP,Uttar Pradesh,2026-03,2008-04,2008-04,2019-12,2025-12,1060.67,4417.21,4575.74,82.39,https://ipm.mospi.gov.in/Home/ViewPdf/31?path=FlashReport_March_2026.pdf,0,0,0.39000000000000057,0,316.45469373132073,103.58891698606134
613787,Jamrani Dam Multipurpose Project,Irrigation-UK,Uttarakhand,2025-07,2023-10,2023-11,2029-06,,2584.1,2584.1,486.52,16,https://ipm.mospi.gov.in/Content/ArchiveReport/flash/2025-26/FlashReport_July_2025.pdf,0,0,0,0,0,18.827444758329786
613787,Jamrani Dam Multipurpose Project,Irrigation-UK,Uttarakhand,2025-08,2023-10,2023-11,2029-06,,2584.1,2584.1,968.52,16,https://ipm.mospi.gov.in/Content/ArchiveReport/flash/2025-26/FlashReport_August_2025.pdf,0,482,0,0,0,37.4799736852289
613787,Jamrani Dam Multipurpose Project,Irrigation-UK,Uttarakhand,2025-09,2023-10,2023-11,2029-06,,2584.1,2584.1,968.52,16,https://ipm.mospi.gov.in/Content/ArchiveReport/flash/2025-26/FlashReport_September_2025.pdf,0,0,0,0,0,37.4799736852289
613787,Jamrani Dam Multipurpose Project,Irrigation-UK,Uttarakhand,2025-10,2023-10,2023-11,2029-06,,2584.1,2584.1,968.52,16,https://ipm.mospi.gov.in/Content/ArchiveReport/flash/2025-26/FlashReport_October_2025.pdf,0,0,0,0,0,37.4799736852289
613787,Jamrani Dam Multipurpose Project,Irrigation-UK,Uttarakhand,2025-11,2023-10,2023-11,2029-06,,2584.1,2584.1,968.52,16,https://ipm.mospi.gov.in/Home/ViewPdf/24?path=FlashReport_November_2025.pdf,0,0,0,0,0,37.4799736852289
613787,Jamrani Dam Multipurpose Project,Irrigation-UK,Uttarakhand,2025-12,2023-10,2023-11,2029-06,,2584.1,2584.1,987.61,21,https://ipm.mospi.gov.in/Content/PDF/FlashReport_December_2025.pdf,0,19.090000000000032,5,0,0,38.21872218567393
613787,Jamrani Dam Multipurpose Project,Irrigation-UK,Uttarakhand,2026-01,2023-10,2023-11,2029-06,,2584.1,2584.1,991.09,21,https://ipm.mospi.gov.in/Home/ViewPdf/28?path=FlashReport_January_2026.pdf,0,3.480000000000018,0,0,0,38.35339189659843
613787,Jamrani Dam Multipurpose Project,Irrigation-UK,Uttarakhand,2026-02,2023-10,2023-11,2029-06,,2584.1,2584.1,990.18,21,https://ipm.mospi.gov.in/ReportPage/ViewPdf?id=1316&path=Content%5CArchiveReport%5Cflash%5C2025-26%5CFlashReport_February_2026.pdf,0,-0.9100000000000819,0,1,0,38.31817654115553
613787,Jamrani Dam Multipurpose Project,Irrigation-UK,Uttarakhand,2026-03,2023-10,2023-11,2029-06,,2584.1,2584.1,1267.4,24.77,https://ipm.mospi.gov.in/Home/ViewPdf/31?path=FlashReport_March_2026.pdf,0,277.22000000000014,3.7699999999999996,0,0,49.04608954761813
