canonical_project_id,snapshot_month,sector,state,ministry_department,project_age_months,months_to_target,current_time_slip_months,current_cost_overrun_pct,spend_ratio_pct,physical_progress_pct,financial_physical_gap_pct,progress_delta_1m,progress_delta_3m,progress_delta_6m,spend_delta_1m_cr,spend_delta_3m_cr,spend_delta_6m_cr,progress_velocity_3m,schedule_pressure,stagnation_streak_months,target_revision_count_to_date,cost_revision_count_to_date,data_quality_score,missing_core_fields_count,delay_event_next_3m,delay_event_next_6m,cost_escalation_next_3m,cost_escalation_next_6m,future_coverage_3m,future_coverage_6m,valid_delay_target_3m,valid_delay_target_6m,valid_cost_target_3m,valid_cost_target_6m
L-N04000073,2025-01,CIVIL AVIATION,ANDAMAN AND,,135,-19,57,69.62586582939865,98.7382193774462,100.0,-1.2617806225538004,,,,,,,,0.0,0,0,0,92,0,0,,0,,1,0,1,0,1,0
L-N04000073,2025-02,CIVIL AVIATION,ANDAMAN AND,,136,-20,57,69.62586582939865,98.7382193774462,100.0,-1.2617806225538004,0.0,,,0.0,,,,0.0,1,0,0,88,0,0,,0,,1,0,1,0,1,0
L-N04000073,2025-03,CIVIL AVIATION,ANDAMAN AND,,137,-21,57,69.62586582939865,98.7382193774462,100.0,-1.2617806225538004,0.0,,,0.0,,,,0.0,2,0,0,88,0,0,,0,,1,0,1,0,1,0
L-N04000074,2025-01,CIVIL AVIATION,,,79,14,49,0.0,62.1925415484394,69.0,-6.807458451560599,,,,,,,,2.2142857142857144,0,0,0,100,0,,,0,,1,0,0,0,1,0
L-N04000074,2025-02,CIVIL AVIATION,,,80,13,49,0.0,62.54114308877179,69.5,-6.95885691122821,0.5,,,8.600000000000136,,,,2.3461538461538463,0,0,0,100,0,,,0,,1,0,0,0,1,0
L-N04000074,2025-03,CIVIL AVIATION,,,81,12,49,0.0,64.07498986623429,70.0,-5.92501013376571,0.5,,,37.83999999999992,,,,2.5,0,0,0,100,0,,,0,,1,0,0,0,1,0
L-N04000076,2025-01,CIVIL AVIATION,,,98,-9,48,15.605661619486492,96.95623700919678,100.0,-3.0437629908032164,,,,,,,,0.0,0,0,0,100,0,0,,0,,1,0,1,0,1,0
L-N04000076,2025-02,CIVIL AVIATION,,,99,-10,48,15.605661619486492,97.0103356965918,100.0,-2.9896643034082047,0.0,,,0.18999999999999773,,,,0.0,1,0,0,100,0,0,,0,,1,0,1,0,1,0
L-N04000076,2025-03,CIVIL AVIATION,,,100,-11,48,15.605661619486492,98.08661484581874,100.0,-1.913385154181256,0.0,,,3.7800000000000296,,,,0.0,2,0,0,100,0,0,,0,,1,0,1,0,1,0
L-N04000077,2025-01,CIVIL AVIATION,,,79,21,61,138.01952277657267,79.02521712978574,79.03,-0.004782870214256718,,,,,,,,0.9985714285714286,0,0,0,100,0,0,,0,,1,0,1,0,1,0
L-N04000077,2025-02,CIVIL AVIATION,,,80,20,61,138.01952277657267,79.27523155953716,79.28,-0.0047684404628398624,0.25,,,8.230000000000018,,,,1.036,1,0,0,100,0,0,,0,,1,0,1,0,1,0
L-N04000077,2025-03,CIVIL AVIATION,,,81,19,61,138.01952277657267,79.66498673981792,79.66,0.00498673981792308,0.37999999999999545,,,12.829999999999927,,,,1.0705263157894738,2,0,0,100,0,0,,0,,1,0,1,0,1,0
L-N04000079,2025-01,CIVIL AVIATION,,,94,-13,32,9.38387429268601,97.71923076923076,100.0,-2.2807692307692378,,,,,,,,0.0,0,0,0,100,0,0,,0,,1,0,1,0,1,0
L-N04000079,2025-02,CIVIL AVIATION,,,95,-14,32,9.38387429268601,97.73461538461538,100.0,-2.265384615384619,0.0,,,0.08000000000004093,,,,0.0,1,0,0,100,0,0,,0,,1,0,1,0,1,0
