project_id,snapshot_month,previous_target,previous_target_source,current_target,current_target_source,reporting_regime,interpreted_change_months,semantic_comparable,exclusion_reason
P-618585,2026-03,2027-04-01,ORIGINAL,2027-11-01,REVISED,PAIMANA,7,0,TARGET_SOURCE_TRANSITION
P-618586,2026-03,2026-06-01,ORIGINAL,2026-06-01,REVISED,PAIMANA,0,1,
P-618588,2025-02,2025-02-01,REVISED,2025-03-01,REVISED,OCMS_LEGACY,1,1,
P-618588,2025-03,2025-03-01,REVISED,2025-04-01,REVISED,OCMS_LEGACY,1,1,
P-618588,2025-04,2025-04-01,REVISED,2025-05-01,REVISED,OCMS_LEGACY,1,1,
P-618588,2025-12,2025-05-01,REVISED,2025-01-01,REVISED,PAIMANA,-4,0,REPORTING_REGIME_CHANGE
P-618588,2026-03,2025-01-01,REVISED,2026-04-01,REVISED,PAIMANA,15,1,
P-618588,2026-04,2026-04-01,REVISED,2026-05-01,REVISED,PAIMANA,1,1,
P-618589,2025-12,2025-07-01,REVISED,2025-07-01,ORIGINAL,PAIMANA,0,1,
P-618589,2026-03,2025-07-01,ORIGINAL,2026-12-01,REVISED,PAIMANA,17,0,TARGET_SOURCE_TRANSITION
P-618589,2026-04,2026-12-01,REVISED,2026-05-01,REVISED,PAIMANA,-7,1,
P-618590,2025-12,2025-05-01,REVISED,2025-05-01,ORIGINAL,PAIMANA,0,1,
P-618590,2026-03,2025-05-01,ORIGINAL,2026-12-01,REVISED,PAIMANA,19,0,TARGET_SOURCE_TRANSITION
P-618591,2026-03,2026-12-01,ORIGINAL,2026-12-01,REVISED,PAIMANA,0,1,
P-618592,2026-03,2026-05-01,ORIGINAL,2027-03-01,REVISED,PAIMANA,10,0,TARGET_SOURCE_TRANSITION
P-618593,2026-03,2027-11-01,ORIGINAL,2027-11-01,REVISED,PAIMANA,0,1,
P-618594,2025-03,2025-03-01,REVISED,2025-06-01,REVISED,OCMS_LEGACY,3,1,
P-618594,2025-04,2025-06-01,REVISED,2025-06-01,ANTICIPATED,OCMS_LEGACY,0,1,
P-618594,2025-05,2025-06-01,ANTICIPATED,2025-06-01,REVISED,OCMS_LEGACY,0,1,
P-618594,2025-06,2025-06-01,REVISED,2025-09-01,REVISED,OCMS_LEGACY,3,1,
P-618594,2025-12,2025-09-01,REVISED,2024-10-01,ORIGINAL,PAIMANA,-11,0,REPORTING_REGIME_CHANGE
P-618594,2026-03,2024-10-01,ORIGINAL,2026-04-01,REVISED,PAIMANA,18,0,TARGET_SOURCE_TRANSITION
P-618594,2026-04,2026-04-01,REVISED,2026-05-01,REVISED,PAIMANA,1,1,
P-618595,2025-04,2025-11-01,REVISED,2025-11-01,ANTICIPATED,OCMS_LEGACY,0,1,
P-618595,2025-05,2025-11-01,ANTICIPATED,2026-03-01,REVISED,OCMS_LEGACY,4,0,TARGET_SOURCE_TRANSITION
P-618595,2025-12,2026-03-01,REVISED,2024-04-01,ORIGINAL,PAIMANA,-23,0,REPORTING_REGIME_CHANGE
P-618595,2026-02,2024-04-01,ORIGINAL,2024-12-01,REVISED,PAIMANA,8,0,TARGET_SOURCE_TRANSITION
P-618595,2026-03,2024-12-01,REVISED,2027-03-01,REVISED,PAIMANA,27,1,
P-618596,2025-04,2025-12-01,REVISED,2026-03-01,ANTICIPATED,OCMS_LEGACY,3,0,TARGET_SOURCE_TRANSITION
P-618596,2025-05,2026-03-01,ANTICIPATED,2026-03-01,REVISED,OCMS_LEGACY,0,1,
P-618596,2025-12,2026-03-01,REVISED,2025-08-01,REVISED,PAIMANA,-7,0,REPORTING_REGIME_CHANGE
P-618596,2026-03,2025-08-01,REVISED,2027-12-01,REVISED,PAIMANA,28,1,
P-618597,2025-03,2025-12-01,REVISED,2026-03-01,REVISED,OCMS_LEGACY,3,1,
P-618597,2025-04,2026-03-01,REVISED,2026-03-01,ANTICIPATED,OCMS_LEGACY,0,1,
P-618597,2025-05,2026-03-01,ANTICIPATED,2026-03-01,REVISED,OCMS_LEGACY,0,1,
P-618597,2025-12,2026-03-01,REVISED,2024-07-01,ORIGINAL,PAIMANA,-20,0,REPORTING_REGIME_CHANGE
P-618597,2026-03,2024-07-01,ORIGINAL,2027-05-01,REVISED,PAIMANA,34,0,TARGET_SOURCE_TRANSITION
P-618598,2025-04,2024-06-01,REVISED,2024-06-01,ANTICIPATED,OCMS_LEGACY,0,1,
P-618598,2025-05,2024-06-01,ANTICIPATED,2024-06-01,REVISED,OCMS_LEGACY,0,1,
P-618598,2025-12,2024-06-01,REVISED,2024-02-01,REVISED,PAIMANA,-4,0,REPORTING_REGIME_CHANGE
P-618598,2026-03,2024-02-01,REVISED,2026-04-01,REVISED,PAIMANA,26,1,
