canonical_project_id,first_snapshot,last_snapshot,observed_months,calendar_span_months,coverage_pct,missing_month_count,missing_months
L-N22000274,2025-01,2025-06,6,6,100.0,0,
L-N22000349,2025-01,2025-06,6,6,100.0,0,
L-N22000401,2025-01,2025-04,4,4,100.0,0,
L-N22000417,2025-01,2025-04,4,4,100.0,0,
L-N22000418,2025-01,2025-04,4,4,100.0,0,
L-N22000419,2025-01,2025-04,4,4,100.0,0,
L-N22000470,2025-01,2025-06,6,6,100.0,0,
L-N22000485,2025-01,2025-06,6,6,100.0,0,
L-N22000502,2025-01,2025-04,4,4,100.0,0,
L-N22000504,2025-01,2025-06,6,6,100.0,0,
L-N22000505,2025-01,2025-04,4,4,100.0,0,
L-N22000510,2025-01,2025-06,6,6,100.0,0,
L-N22000511,2025-01,2025-06,6,6,100.0,0,
L-N22000515,2025-01,2025-06,6,6,100.0,0,
L-N22000518,2025-01,2025-06,6,6,100.0,0,
L-N22000519,2025-01,2025-06,6,6,100.0,0,
L-N22000522,2025-01,2025-06,6,6,100.0,0,
L-N22000523,2025-01,2025-04,4,4,100.0,0,
L-N22000525,2025-01,2025-06,6,6,100.0,0,
L-N22000526,2025-01,2025-06,6,6,100.0,0,
L-N22000528,2025-01,2025-06,6,6,100.0,0,
L-N22000533,2025-01,2025-06,6,6,100.0,0,
L-N22000537,2025-01,2025-06,6,6,100.0,0,
L-N22000547,2025-01,2025-06,6,6,100.0,0,
L-N22000548,2025-01,2025-06,6,6,100.0,0,
L-N22000555,2025-01,2025-06,6,6,100.0,0,
L-N22000556,2025-01,2025-06,6,6,100.0,0,
L-N22000566,2025-01,2025-06,6,6,100.0,0,
L-N22000568,2025-01,2025-06,6,6,100.0,0,
L-N22000570,2025-01,2025-06,6,6,100.0,0,
L-N22000571,2025-01,2025-06,6,6,100.0,0,
L-N22000589,2025-01,2025-06,6,6,100.0,0,
L-N22000591,2025-01,2025-06,6,6,100.0,0,
L-N22000594,2025-01,2025-06,6,6,100.0,0,
L-N22000596,2025-01,2025-06,6,6,100.0,0,
L-N22000599,2025-01,2025-06,6,6,100.0,0,
L-N22000600,2025-01,2025-06,6,6,100.0,0,
L-N22000605,2025-01,2025-06,6,6,100.0,0,
L-N22000609,2025-01,2025-04,4,4,100.0,0,
L-N22000610,2025-01,2025-06,6,6,100.0,0,
L-N22000612,2025-01,2025-06,6,6,100.0,0,
L-N22000613,2025-01,2025-06,6,6,100.0,0,
L-N22000614,2025-01,2025-06,6,6,100.0,0,
L-N22000616,2025-01,2025-06,6,6,100.0,0,
L-N22000618,2025-01,2025-06,6,6,100.0,0,
L-N22000625,2025-01,2025-05,5,5,100.0,0,
L-N22000628,2025-01,2025-06,6,6,100.0,0,
L-N22000630,2025-01,2025-06,6,6,100.0,0,
L-N22000632,2025-06,2025-06,1,1,100.0,0,
L-N24000165,2025-01,2025-06,6,6,100.0,0,
L-N24000245,2025-01,2025-06,6,6,100.0,0,
L-N24000247,2025-01,2025-06,6,6,100.0,0,
L-N24000248,2025-01,2025-06,6,6,100.0,0,
L-N24000301,2025-01,2025-05,5,5,100.0,0,
L-N24000332,2025-01,2025-05,5,5,100.0,0,
L-N24000334,2025-01,2025-06,6,6,100.0,0,
L-N24000463,2025-01,2025-06,6,6,100.0,0,
L-N24000465,2025-01,2025-06,6,6,100.0,0,
L-N24000488,2025-01,2025-06,6,6,100.0,0,
L-N24000531,2025-01,2025-06,6,6,100.0,0,
L-N24000552,2025-01,2025-03,3,3,100.0,0,
L-N24000556,2025-01,2025-02,2,2,100.0,0,
L-N24000559,2025-01,2025-02,2,2,100.0,0,
L-N24000560,2025-01,2025-06,6,6,100.0,0,
L-N24000564,2025-01,2025-06,6,6,100.0,0,
L-N24000567,2025-01,2025-04,4,4,100.0,0,
L-N24000570,2025-01,2025-04,4,4,100.0,0,
L-N24000576,2025-01,2025-06,6,6,100.0,0,
